Mouser #:,Mfr. #:,Desc.:,Order Qty.,Notes,
490-PSK-15D-5,PSK-15D-5,"AC/DC Power Modules AC/DC Power Modules ac-dc, 15 W, 5 Vdc, single output, encapsulated PCB, 85~305 Vac",1,,
710-691111710002,691111710002,Pluggable Terminal Blocks Pluggable Terminal Blocks WR-TBL 250VAC 15A 2P Straight,2,,
225-RP1A23D10,RP1A23D10,Solid State Relays - PCB Mount Solid State Relays - PCB Mount SSR ZS PCB MT W/H.S. 230V 10A,1,,
743-HV-5RGB60,HV-5RGB60,Standard LEDs - Through Hole Standard LEDs - Through Hole RGB LED,2,,
280-CR5-220-RC,280-CR5-220-RC,Wirewound Resistors - Through Hole Wirewound Resistors - Through Hole 220ohms 5% Tol,2,,
,,Teensy 3.2,1,,
,,Adafruit MAX31855 breakout board,1,,
,,Adafruit WINC1500 breakout board,1,,
,,M5-0.8 x 10mm screws,3,Ace Hardware,
,https://www.amazon.com/dp/B08P1TNNR6/ref=cm_sw_r_apa_i_5QH34E6J1E39QVHMM07F_0,M5-0.8 brass threaded inserts,3,Dimensions LxWxH,0.37 x 0.26 x 0.26 inches
